Mathematics,Chemistry,Biology,Physics,Geography,English,Field_of_Interest,Course
B,C,B,A,B,F,Computer,Electrical and Computer Engineering
B,A,F,B,D,C,Computer,Electrical and Computer Engineering
F,A,A,B,A,C,Networks,Electrical and Computer Engineering
D,F,C,D,B,D,Networks,Electrical and Computer Engineering
B,A,F,B,C,A,Networks,Electrical and Computer Engineering
D,B,A,B,A,A,Computer,Electrical and Computer Engineering
B,F,F,D,F,F,Domestic and Industrial Electricity,Unknown
B,A,B,D,F,B,Networks,Electrical and Computer Engineering
C,C,F,F,C,B,Networks,Electrical and Computer Engineering
B,B,B,F,D,D,Computer,Electrical and Computer Engineering
A,C,B,D,A,C,Electronics,Electronics and Telecommunication Engineering
F,C,A,C,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,D,A,B,A,Solar Electricity,Electrical and Renewable Energy
D,D,F,D,C,F,Solar Electricity,Electrical and Renewable Energy
B,F,C,F,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,B,B,D,C,Computer,Electrical and Computer Engineering
D,B,D,D,B,B,Electronics,Electronics and Telecommunication Engineering
C,F,B,D,B,A,Electronics,Electronics and Telecommunication Engineering
D,D,D,F,C,C,Solar Electricity,Electrical and Renewable Energy
D,F,D,F,B,A,Electronics,Electronics and Telecommunication Engineering
B,B,C,C,F,B,Solar Electricity,Electrical and Renewable Energy
C,D,D,F,D,B,Networks,Electrical and Computer Engineering
D,B,C,F,B,A,Computer,Electrical and Computer Engineering
A,D,A,F,A,C,Electronics,Electronics and Telecommunication Engineering
A,D,B,B,B,A,Computer,Electrical and Computer Engineering
F,F,C,D,D,C,Networks,Electrical and Computer Engineering
C,F,B,D,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,F,F,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,A,C,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,F,F,A,A,Solar Electricity,Electrical and Renewable Energy
C,B,F,C,D,C,Solar Electricity,Electrical and Renewable Energy
A,C,D,D,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,D,C,D,A,Networks,Electrical and Computer Engineering
B,B,F,C,C,C,Solar Electricity,Electrical and Renewable Energy
C,B,D,A,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,B,C,D,F,Computer,Electrical and Computer Engineering
F,F,D,C,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,F,B,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,D,D,A,A,Computer,Electrical and Computer Engineering
B,F,D,F,B,A,Solar Electricity,Electrical and Renewable Energy
F,D,C,A,C,D,Computer,Electrical and Computer Engineering
C,A,C,C,C,C,Solar Electricity,Electrical and Renewable Energy
B,D,F,B,D,B,Networks,Electrical and Computer Engineering
C,C,B,B,F,B,Solar Electricity,Electrical and Renewable Energy
A,C,A,F,B,C,Electronics,Electronics and Telecommunication Engineering
B,C,A,F,C,B,Solar Electricity,Electrical and Renewable Energy
F,C,F,D,F,F,Electronics,Unknown
B,B,B,C,B,D,Solar Electricity,Electrical and Renewable Energy
B,C,B,B,D,A,Computer,Electrical and Computer Engineering
B,B,B,A,C,B,Solar Electricity,Electrical and Renewable Energy
B,B,C,D,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,F,C,D,C,Solar Electricity,Electrical and Renewable Energy
A,B,A,F,C,B,Computer,Electrical and Computer Engineering
D,B,B,C,F,C,Computer,Electrical and Computer Engineering
B,C,F,F,F,F,Solar Electricity,Unknown
F,B,A,C,D,F,Solar Electricity,Electrical and Renewable Energy
B,D,C,A,D,A,Solar Electricity,Electrical and Renewable Energy
F,C,D,D,A,C,Networks,Electrical and Computer Engineering
C,A,A,F,B,D,Electronics,Electronics and Telecommunication Engineering
F,C,A,A,D,A,Solar Electricity,Electrical and Renewable Energy
D,B,A,B,D,C,Solar Electricity,Electrical and Renewable Energy
A,D,D,A,B,C,Electronics,Electronics and Telecommunication Engineering
F,C,B,A,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,D,A,F,F,Networks,Electrical and Computer Engineering
A,A,A,F,C,C,Networks,Electrical and Computer Engineering
D,A,C,B,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,A,D,B,C,Electronics,Electronics and Telecommunication Engineering
F,F,C,A,A,C,Electronics,Electronics and Telecommunication Engineering
A,C,F,F,A,A,Computer,Electrical and Computer Engineering
C,F,C,F,F,A,Electronics,Electronics and Telecommunication Engineering
A,D,A,D,D,D,Networks,Electrical and Computer Engineering
C,F,D,C,B,A,Computer,Electrical and Computer Engineering
D,D,A,B,A,B,Solar Electricity,Electrical and Renewable Energy
B,F,A,B,C,B,Solar Electricity,Electrical and Renewable Energy
A,F,F,A,A,F,Solar Electricity,Electrical and Renewable Energy
F,F,B,C,C,B,Computer,Electrical and Computer Engineering
D,B,A,B,A,A,Networks,Electrical and Computer Engineering
A,B,F,A,C,D,Electronics,Electronics and Telecommunication Engineering
F,F,D,C,A,C,Computer,Electrical and Computer Engineering
A,D,F,F,A,D,Networks,Electrical and Computer Engineering
C,C,F,A,F,A,Electronics,Electronics and Telecommunication Engineering
A,A,C,C,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,B,D,B,A,Networks,Electrical and Computer Engineering
A,F,B,B,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,D,A,F,B,Solar Electricity,Electrical and Renewable Energy
A,B,F,F,C,A,Solar Electricity,Electrical and Renewable Energy
F,C,D,A,D,C,Networks,Electrical and Computer Engineering
C,D,D,B,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,B,B,B,B,Computer,Electrical and Computer Engineering
A,C,B,C,C,F,Electronics,Electronics and Telecommunication Engineering
D,B,B,F,B,D,Solar Electricity,Electrical and Renewable Energy
D,F,A,C,F,B,Solar Electricity,Electrical and Renewable Energy
F,A,F,F,D,B,Solar Electricity,Electrical and Renewable Energy
A,D,D,A,B,A,Solar Electricity,Electrical and Renewable Energy
C,B,F,A,D,C,Networks,Electrical and Computer Engineering
D,D,D,C,A,A,Networks,Electrical and Computer Engineering
A,F,D,D,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,D,B,C,B,Computer,Electrical and Computer Engineering
D,D,D,C,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,C,C,B,A,Computer,Electrical and Computer Engineering
B,B,C,A,F,A,Networks,Electrical and Computer Engineering
F,A,A,B,D,D,Solar Electricity,Electrical and Renewable Energy
F,D,B,C,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,D,A,F,D,Computer,Electrical and Computer Engineering
D,C,F,A,C,B,Electronics,Electronics and Telecommunication Engineering
A,A,C,C,A,C,Computer,Electrical and Computer Engineering
D,F,B,C,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,A,A,C,A,Networks,Electrical and Computer Engineering
F,C,B,C,A,A,Solar Electricity,Electrical and Renewable Energy
D,A,D,B,C,A,Electronics,Electronics and Telecommunication Engineering
F,A,B,A,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,D,A,C,F,Networks,Electrical and Computer Engineering
F,D,C,C,A,D,Computer,Electrical and Computer Engineering
F,F,C,C,D,D,Networks,Electrical and Computer Engineering
B,F,D,C,C,A,Networks,Electrical and Computer Engineering
B,D,F,B,C,A,Solar Electricity,Electrical and Renewable Energy
B,B,C,A,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,F,D,B,A,Networks,Electrical and Computer Engineering
C,A,D,B,A,D,Computer,Electrical and Computer Engineering
F,D,D,B,B,C,Computer,Electrical and Computer Engineering
C,A,C,A,D,C,Solar Electricity,Electrical and Renewable Energy
C,C,F,D,D,A,Networks,Electrical and Computer Engineering
B,A,D,A,F,C,Computer,Electrical and Computer Engineering
D,F,C,B,F,F,Computer,Electrical and Computer Engineering
A,D,D,C,D,A,Solar Electricity,Electrical and Renewable Energy
B,A,B,A,F,F,Networks,Electrical and Computer Engineering
B,B,B,A,C,A,Solar Electricity,Electrical and Renewable Energy
D,C,C,C,B,F,Networks,Electrical and Computer Engineering
A,B,D,D,D,A,Computer,Electrical and Computer Engineering
F,B,C,D,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,A,A,A,A,Computer,Electrical and Computer Engineering
B,C,C,C,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,C,A,F,B,Networks,Electrical and Computer Engineering
B,C,B,C,F,B,Networks,Electrical and Computer Engineering
C,C,B,B,C,A,Electronics,Electronics and Telecommunication Engineering
B,B,D,C,A,D,Networks,Electrical and Computer Engineering
B,F,C,A,D,D,Networks,Electrical and Computer Engineering
F,F,C,F,B,C,Electronics,Electronics and Telecommunication Engineering
F,C,D,D,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,F,A,C,F,Networks,Electrical and Computer Engineering
C,A,D,C,F,C,Solar Electricity,Electrical and Renewable Energy
F,D,B,C,C,A,Networks,Electrical and Computer Engineering
A,D,B,D,A,C,Networks,Electrical and Computer Engineering
D,D,C,A,F,C,Computer,Electrical and Computer Engineering
A,F,B,F,C,A,Networks,Electrical and Computer Engineering
A,A,D,B,C,A,Networks,Electrical and Computer Engineering
F,D,C,F,F,F,Solar Electricity,Unknown
D,C,D,B,B,D,Electronics,Electronics and Telecommunication Engineering
D,F,D,B,D,C,Electronics,Electronics and Telecommunication Engineering
D,C,C,A,A,B,Electronics,Electronics and Telecommunication Engineering
C,C,F,B,F,D,Computer,Electrical and Computer Engineering
F,D,B,C,F,A,Networks,Electrical and Computer Engineering
D,C,A,B,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,A,B,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,A,D,F,B,Solar Electricity,Electrical and Renewable Energy
B,D,B,D,B,D,Computer,Electrical and Computer Engineering
C,C,F,A,D,C,Computer,Electrical and Computer Engineering
C,F,D,A,C,A,Networks,Electrical and Computer Engineering
F,F,C,C,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,D,D,B,Computer,Electrical and Computer Engineering
B,B,A,F,D,A,Solar Electricity,Electrical and Renewable Energy
D,F,B,A,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,B,A,C,C,Computer,Electrical and Computer Engineering
D,B,C,D,A,D,Networks,Electrical and Computer Engineering
D,F,D,D,A,F,Networks,Electrical and Computer Engineering
F,D,F,C,B,C,Networks,Electrical and Computer Engineering
A,F,F,D,B,C,Networks,Electrical and Computer Engineering
A,F,F,B,F,F,Domestic and Industrial Electricity,Unknown
C,B,D,F,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,D,B,D,A,Computer,Electrical and Computer Engineering
D,C,D,B,C,B,Solar Electricity,Electrical and Renewable Energy
A,A,C,B,D,C,Electronics,Electronics and Telecommunication Engineering
D,D,B,A,C,A,Electronics,Electronics and Telecommunication Engineering
A,C,A,B,F,A,Networks,Electrical and Computer Engineering
A,D,D,A,B,C,Computer,Electrical and Computer Engineering
A,C,B,D,B,B,Electronics,Electronics and Telecommunication Engineering
F,C,D,F,F,F,Electronics,Unknown
B,D,A,F,F,C,Electronics,Electronics and Telecommunication Engineering
D,B,D,B,D,B,Electronics,Electronics and Telecommunication Engineering
F,D,B,F,B,F,Electronics,Electronics and Telecommunication Engineering
F,D,C,A,A,D,Computer,Electrical and Computer Engineering
F,C,A,D,F,C,Electronics,Electronics and Telecommunication Engineering
F,A,B,B,B,C,Electronics,Electronics and Telecommunication Engineering
F,C,F,C,B,B,Computer,Electrical and Computer Engineering
C,F,F,F,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,F,F,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,C,B,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,D,F,D,C,Electronics,Electronics and Telecommunication Engineering
C,C,D,F,B,C,Computer,Electrical and Computer Engineering
C,B,D,C,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,C,A,F,D,Networks,Electrical and Computer Engineering
A,C,F,B,D,A,Networks,Electrical and Computer Engineering
B,C,D,B,D,D,Computer,Electrical and Computer Engineering
A,F,C,C,F,C,Electronics,Electronics and Telecommunication Engineering
A,F,C,C,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,B,A,A,C,Electronics,Electronics and Telecommunication Engineering
F,F,D,D,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,F,B,F,B,Solar Electricity,Electrical and Renewable Energy
A,F,A,F,B,A,Solar Electricity,Electrical and Renewable Energy
C,A,C,A,B,C,Electronics,Electronics and Telecommunication Engineering
D,D,B,B,D,F,Networks,Electrical and Computer Engineering
B,F,A,A,F,F,Electronics,Electronics and Telecommunication Engineering
D,C,C,D,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,B,B,C,B,Electronics,Electronics and Telecommunication Engineering
F,C,D,F,A,C,Electronics,Electronics and Telecommunication Engineering
B,D,B,B,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,C,A,F,A,Networks,Electrical and Computer Engineering
D,F,D,D,F,B,Solar Electricity,Electrical and Renewable Energy
B,F,F,A,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,B,A,B,F,Electronics,Electronics and Telecommunication Engineering
D,D,A,C,D,A,Computer,Electrical and Computer Engineering
B,A,D,A,F,F,Electronics,Electronics and Telecommunication Engineering
D,B,D,D,C,B,Electronics,Electronics and Telecommunication Engineering
D,F,F,F,B,D,Computer,Electrical and Computer Engineering
F,D,B,C,D,C,Electronics,Electronics and Telecommunication Engineering
A,A,A,A,F,A,Computer,Electrical and Computer Engineering
D,A,F,B,F,B,Electronics,Electronics and Telecommunication Engineering
C,B,B,C,F,B,Networks,Electrical and Computer Engineering
A,A,A,D,C,D,Solar Electricity,Electrical and Renewable Energy
A,C,A,B,B,D,Networks,Electrical and Computer Engineering
A,F,C,D,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,A,B,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,B,F,F,B,Electronics,Electronics and Telecommunication Engineering
F,B,F,D,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,F,B,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,C,D,F,D,Electronics,Electronics and Telecommunication Engineering
F,F,B,C,B,B,Electronics,Electronics and Telecommunication Engineering
C,F,A,D,B,F,Solar Electricity,Electrical and Renewable Energy
F,A,C,D,C,F,Computer,Electrical and Computer Engineering
B,C,D,B,A,A,Electronics,Electronics and Telecommunication Engineering
C,F,B,D,C,D,Solar Electricity,Electrical and Renewable Energy
F,F,C,F,C,A,Networks,Electrical and Computer Engineering
A,C,F,A,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,C,C,C,F,Computer,Electrical and Computer Engineering
B,A,D,B,A,F,Networks,Electrical and Computer Engineering
B,D,B,D,C,F,Electronics,Electronics and Telecommunication Engineering
C,B,C,D,B,A,Networks,Electrical and Computer Engineering
F,D,A,D,D,C,Solar Electricity,Electrical and Renewable Energy
F,D,B,C,D,A,Electronics,Electronics and Telecommunication Engineering
A,F,C,A,C,F,Electronics,Electronics and Telecommunication Engineering
A,C,C,F,D,D,Computer,Electrical and Computer Engineering
B,F,B,F,D,D,Solar Electricity,Electrical and Renewable Energy
A,B,F,B,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,A,A,A,A,Networks,Electrical and Computer Engineering
F,B,B,A,C,B,Computer,Electrical and Computer Engineering
